Масло сладко-сливочное «Бутербродное»;566;1.3;61.5;1.7
Масло сладко-сливочное «Вологодское»;748;0.5;82.5;0.8
Масло сладко-сливочное несоленое;748;0.5;82.5;0.8
Масло сладко-сливочное несоленое «Любительское»;709;0.7;78;1
Масло сладко-сливочное соленое «Любительское»;700;0.7;77;1
Масло сливочное несоленое «Крестьянское»;661;0.8;72.5;1.3
Масло сливочное соленое «Крестьянское»;647;0.8;71.5;1.3
Масло сливочное. с белком;747.5;0.5;82.5;0.8
Масло топленое;892;0.2;99;0
Меланж;157;12.7;11.5;0.7
Яйцо куриное;157;12.7;11.5;0.7
Яйцо перепелиное;168;11.9;13.1;0.6
Яичный белок куриный;44.4;11.1;0;0
Яичный белок куриный. сухой;350;82.4;1.8;1.2
Яичный желток куриный;64.8;16.2;0;0
Яичный желток куриный. сухой;612;31.1;52.2;4.7
Яичный порошок;542;46;37.3;4.5
Вина десертные;172;0.5;0;20
Вина крепкие;163;0.4;0;12
Вина ликерные;212;0.5;0;30
Вина полудесертные;140;0.4;0;12
Вина полусладкие белые и красные (в т. ч. шампанское);88;0.2;0;5
Вина полусухие белые и красные (в т. ч. шампанское);78;0.3;0;2.5
Вина сладкие белые и красные (в т. ч. шампанское);100;0.2;0;8
Вина сухие белые и красные (в т. ч. шампанское);64;0.2;0;0.3
Водка;235;0;0;0.4
Коньяк ординарный «три звездочки»;239;0;0;1.5
Ликер Вишневый»;299;0;0;40
Наливка «Сливянка»;215;0;0;28
Настойка горькая “Русский сувенир”;248;0;0;6.4
Пиво Жигулёвское;37;0.6;0;4.8
Пиво светлое. с долей сухих в-в в исходном сусле 11%;42;0.3;0;4.6
Пиво светлое. с долей сухих в-в в исходном сусле 20%;75;0.4;0;7.6
Пиво темное. с долей сухих в-в в исходном сусле 13%;48;0.3;0;5.7
Пиво темное. с долей сухих в-в в исходном сусле 20%;74;0.4;0;8.7
Белый гриб;34;3.7;1.7;1.1
Белый гриб маринованный;24;3;0.5;2
Белый гриб сушеный;286;30.3;14.3;9
Грибы соленые;24;3;0.5;2
Грибы сушеные;24;3;0.5;2
Груздь;18.5;1.8;0.8;1.1
Лисички;19;1.5;1;1
Маслята;19.2;0.9;0.4;3.2
Опята;22;2.2;1.2;0.5
Подберезовик сушеный;318.3;24;9.2;37.2
Подберезовики;20;2.1;0.8;1.2
Подосиновик сушеный;314.7;35.4;5.4;33.2
Подосиновики;22;3.3;0.5;1.2
Рыжик;22.3;1.9;0.8;2
Сморчок;22.7;2.9;0.4;2
Сыроежки;19;1.7;0.7;1.5
Трюфели;24;3;0.5;2
Чернушка;9.1;1.5;0.3;0.1
Шампиньоны;27;4.3;1;0.1
Вода;0;0;0;0
Вода “Ливония” (г. Владивосток);0;0;0;0
Вода “Перье” (PERRIER);0;0;0;0
Квас хлебный;27;0.2;0;5.2
Кофе на молоке;58;0.7;1;11.2
Кофе на сгущёном молоке;55;0.7;0.9;10.9
Кофе чёрный без сахара;7;0.2;0.5;0.2
Напитки газированные на плодово-ягодных настоях;46;0;0;9.5
Напитки газированные на цитрусовых настоях;33;0;0;7.5
Напитки газированные на эссенциях («Кока-кола». «Пепси-кола».;38;0;0;8.7
Чай заваренный с лимоном;28;0.1;0;6.8
Чай заваренный с молоком;43;0.7;0.8;8.2
Чай заваренный с сахаром;28;0.1;0;7
Яблочно морковный напиток. Консервы;68;0.3;0;15.5
Яблочно-абрикосовый напиток. Консервы;58;0.2;0;14
Яблочно-виноградный напиток;52;0.3;0;12.3
Арзни;0;0;0;0
Боржоми;0;0;0;0
Ессентуки №4;0;0;0;0
Краинская;0;0;0;0
Миргородская;0;0;0;0
Нарзан;0;0;0;0
Полюстрово;0;0;0;0
Славяновская;0;0;0;0
Айвовый сок;51;0.5;0.1;11.2
Морковный сок;56;1.1;0.1;12.6
Свекольный сок;61;1;0;14.1
Сироп из шиповника;285;0.2;0;70.5
Сок абрикосовый;55;0.5;0;12.7
Сок ананасовый;46.5;0.4;0.2;11.5
Сок апельсиновый;60;0.7;0.1;13.2
Сок виноградный;70;0.3;0.2;16.3
Сок вишнёвый;51;0.7;0.2;11.4
Сок гранатовый;56;0.3;0.1;14.2
Сок грейпфрутовый;38;0.3;0.1;7.9
Сок грушевый;45.5;0.4;0.3;11
Сок клюквенный;45.5;0.4;0.3;11
Сок лимонный;33;0.6;0;3.9
Сок мандариновый;45;0.8;0;9.8
Сок персиковый;68;0.3;0;16.5
Сок сливовый;68;0.3;0.1;15.2
Сок томатный;18;1;0.1;2.9
Сок яблочный;46;0.5;0.1;10.1
Черноплодно-рябиновый сок;50;0.1;0.1;11.4
Черносмородиновый сок;41;0.5;0;7.3
Шиповниковый сок;67;0.1;0.2;16.1
Кофе жареный в зернах;331;13.9;14.4;29.5
Кофе натуральный. молотый;200.6;13.9;14.4;4.1
Кофе растворимый;118.7;15;3.6;7
Чай;140.9;20;5.1;4
Чай черный байховый;151.8;20;5.1;6.9
Абрикосовое масло;899.1;0;99.9;0
Жир бараний;897.3;0;99.7;0
Жир бараний топленый;897;0;99.7;0
Жир бараний. сырец;897.3;0;99.7;0
Жир говяжий;897.3;0;99.7;0
Жир говяжий топленый;896;0;99.6;0
Жир говяжий. сырец;897.3;0;99.7;0
Жир из печени трески;898;0;99.8;0
Жир костный топленый;897;0;99.7;0
Жир кулинарный;897.3;0;99.7;0
Жир кулинарный «Белорусский»;897;0;99.7;0
Жир кулинарный «Восточный»;897;0;99.7;0
Жир кулинарный «Новинка»;897;0;99.7;0
Жир кулинарный «Украинский»;897;0;99.7;0
Жир кулинарный. “прима”;897.3;0;99.7;0
Жир куриный;897;0;99.7;0
Жир растительный;898.2;0;99.8;0
Жир свиной;897.3;0;99.7;0
Жир свиной топленый;896;0;99.6;0
Жир свиной. сырец;897.3;0;99.7;0
Жир-сырец курдючный;897.3;0;99.7;0
Маковое масло;898.2;0;99.8;0
Маргарин «Здоровье»;743;0.5;82;0.7
Маргарин «Экстра»;744;0.5;82;1
Маргарин молочный столовый;743;0.3;82;1
Маргарин низкокалорийный 60% жирности;545;0.5;60;0.7
Маргарин сливочный;743;0.3;82;1
Маргарин. “славянский”;744.5;0.5;82;1.2
Маргарин. “шоколадный”;637;1.2;62.2;19.3
Маргарин. “эра”;743;0.3;82;1
Маргарин. безмолочный;744.4;0;82.5;0.5
Масло арахисовое;899;0;99.9;0
Масло горчичное;898;0;99.8;0
Масло какао;899;0;99.9;0
Масло какаовелла;898;0;99.8;0
Масло канолы;899;0;99.9;0
Масло кокосовое;899;0;99.9;0
Масло конопляное;899;0;99.9;0
Масло кукурузное;899;0;99.9;0
Масло кунжутное;899;0;99.9;0
Масло льняное;898;0;99.8;0
Масло оливковое;898;0;99.8;0
Масло пальмовое;899;0;99.9;0
Масло подсолнечное;899;0;99.9;0
Масло рапсовое;899;0;99.9;0
Масло соевое;899;0;99.9;0
Персиковое масло;899.1;0;99.9;0
Сливовое масло;899.1;0;99.9;0
Топленое масло;885.5;0.3;98;0.6
Хлопковое масло;899.1;0;99.9;0
Шпик свиной;840.8;1.4;92.8;0
Шпик свиной. соленый;815.6;1.4;90;0
Масло сладко-сливочное «Бутербродное»;566;1.3;61.5;1.7
Масло сладко-сливочное «Вологодское»;748;0.5;82.5;0.8
Масло сладко-сливочное несоленое;748;0.5;82.5;0.8
Масло сладко-сливочное несоленое «Любительское»;709;0.7;78;1
Масло сладко-сливочное соленое «Любительское»;700;0.7;77;1
Масло сливочное несоленое «Крестьянское»;661;0.8;72.5;1.3
